complaint_id,ward,area,landmark,category,complaint_text,language,urgency_level,votes,total_complaints_received,status,date_submitted,has_image
MG-00001,KMC-8,Dhalko,Kalanki Chowk,Public Facilities,Park in Dhalko near Kalanki Chowk has broken swings and rusted slides. Children getting injured. No maintenance.,en,2,14,10,WIP,2026-03-20,Yes
MG-00002,KMC-15,Naya Baneshwor,Naya Baneshwor,Road/Pothole,Naya Baneshwor ko main road completely damaged xa. Naya Baneshwor ko aagadi vehicle jam hunchha.,ne,1,5,1,WIP,2025-10-12,Yes
MG-00003,KMC-14,Koteshwor Chowk,Koteshwor,Water/Drainage,Drain blocked xa Koteshwor najik. Paani sadak ma thulo pool ma bharyo. Mosquito breeding bhairako xa.,ne,2,10,18,New,2025-09-23,Yes
MG-00004,KMC-19,Kalimati Bridge,Kalimati Bridge,Traffic/Signals,Kalimati Bridge ko traffic signal broken xa. Kalimati Bridge ma rush hour ma jam hunchha daily.,mix,2,9,7,New,2026-02-12,No
MG-00005,KMC-30,Minbhawan,Kamalpokhari,Garbage/Sanitation,Minbhawan thito garnus. Kamalpokhari paas ma kachra dherai xa. Kids le fohori ma khel racha.,ne,2,7,5,WIP,2025-07-05,No
MG-00006,KMC-11,Boudhanath,Boudhanath,Public Facilities,"Bus stop at Boudhanath near Boudhanath has no roof, broken benches. Passengers standing in sun and rain.",en,1,0,7,New,2025-12-17,No
MG-00007,KMC-21,Dallu,Naxal,Noise Pollution,Vehicle horns and noise near Dallu school affecting students during exam. Traffic diversion needed.,en,1,9,9,WorkDone,2025-08-28,No
MG-00008,KMC-26,Balaju Industrial Area,Balaju,Garbage/Sanitation,Garbage problem serious xa Balaju Industrial Area ma. Balaju ko aagadi overflowing dustbin xa.,mix,3,1,6,WIP,2026-03-03,No
MG-00009,KMC-30,Minbhawan,Kamalpokhari,Illegal Construction,Illegal construction blocking public road near Kamalpokhari in Minbhawan. Emergency vehicles cannot pass.,en,3,2,7,New,2026-04-03,No
MG-00010,KMC-17,Dhobighat,Ekantakuna,Illegal Construction,Illegal construction blocking public road near Ekantakuna in Dhobighat. Emergency vehicles cannot pass.,en,1,9,17,Rejected,2025-06-02,No
MG-00011,KMC-2,Ichangu Narayan,Balambu,Public Facilities,Park in Ichangu Narayan near Balambu has broken swings and rusted slides. Children getting injured. No maintenance.,en,1,4,5,WorkDone,2026-01-29,No
MG-00012,KMC-11,Boudhanath,Jorpati,Flooding,Storm drain near Jorpati choked with plastic. Heavy rain causes immediate flooding in Boudhanath.,en,2,3,8,Rejected,2025-08-16,Yes
MG-00013,KMC-15,Sinamangal,Airport Gate,Road/Pothole,Sadak thik garnu parchha Sinamangal ma. Airport Gate ko paas ma accident bhairaxa daily.,ne,1,6,2,Rejected,2025-10-17,Yes
MG-00014,KMC-16,Jawalakhel,Pulchowk,Noise Pollution,Loud music from Jawalakhel party hall near Pulchowk until late night. Children and elderly suffering.,en,3,10,2,New,2025-08-27,No
MG-00015,KMC-27,Gokarneshwor,Kapan,Road/Pothole,"Gokarneshwor road near Kapan is very bad condition xa. Potholes everywhere, monsoon ma aru problem huncha.",mix,2,10,4,New,2025-07-04,No
MG-00016,KMC-28,Suryabinayak,Sukedhara,Noise Pollution,Loud music from Suryabinayak party hall near Sukedhara until late night. Children and elderly suffering.,en,1,48,3,Rejected,2025-12-04,Yes
MG-00017,KMC-32,Gairidhara,Sinamangal,Electricity,Power outage in Gairidhara for 6 hours daily. NEA not giving advance notice. Businesses losing money.,en,3,2,10,WIP,2025-06-24,No
MG-00018,KMC-32,Sinamangal,Sinamangal,Public Facilities,Park in Sinamangal near Sinamangal has broken swings and rusted slides. Children getting injured. No maintenance.,en,2,0,16,WIP,2025-07-07,Yes
MG-00019,KMC-6,Maharajgunj,Maharajgunj,Flooding,"Maharajgunj near Maharajgunj floods every rain. Water enters houses, furniture damaged. Need proper drainage.",en,3,5,20,New,2026-02-22,No
